Relatório de Ads de palavras-chave - Shopee Brazil
Nome de Usuário,borersuplementos
Data de Criação do Relatório,09/05/2024 01:16
Período,08/02/2024 - 08/05/2024
ID da Loja,300382311

#,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
33,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Pausado,16326971181,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
34,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Pausado,20298501282,Anúncios Descoberta,Tudo,06/07/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
35,19450037117,Encerrado,19450037117,Anúncio de Busca de Produtos,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
36,19450037117,Encerrado,19450037117,Anúncios Descoberta,Tudo,06/07/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
37,19141843738,Encerrado,19141843738,Anúncio de Busca de Produtos,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
38,19141843738,Encerrado,19141843738,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
39,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Pausado,20041843202,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
40,Óleo de Cártamo 1000mg 60 Capsulas Natus Green Oleo de Cartamo - BorerCaps,Pausado,15493308778,Anúncio de Busca de Produtos,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
41,Óleo de Cártamo 1000mg 60 Capsulas Natus Green Oleo de Cartamo - BorerCaps,Pausado,15493308778,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
42,22195830563,Encerrado,22195830563,Anúncio de Busca de Produtos,Tudo,30/05/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
43,22195830563,Encerrado,22195830563,Anúncios Descoberta,Tudo,06/07/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
44,Triptofano Super Concentrado 400mg 60caps 5htp Serotonina + Vit B6,Pausado,7186204018,Anúncios Descoberta,Tudo,30/05/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
45,Triptofano Super Concentrado 400mg 60caps 5htp Serotonina + Vit B6,Em andamento,7186204018,Anúncio de Busca de Produtos,Tudo,30/05/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
46,5786770937,Encerrado,5786770937,Anúncio de Busca de Produtos,Tudo,12/08/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
47,5786775051,Encerrado,5786775051,Anúncio de Busca de Produtos,Tudo,09/08/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
48,5786775051,Encerrado,5786775051,Anúncios Descoberta,Tudo,12/08/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
49,6680114193,Encerrado,6680114193,Anúncio de Busca de Produtos,Tudo,18/03/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
50,6680114193,Encerrado,6680114193,Anúncios Descoberta,Tudo,17/03/2022 13:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
