Quantidade ,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
28,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,terbinafino,5/12/23 0:00,Ilimitado,75,5,6.67%,2,2,40.00%,40.00%,0.28,0.28,2,2,111.86,111.86,0.56,199.75,199.75,0.50%,0.50%,N/A,N/A,N/A
29,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,lakesia pro,5/12/23 0:00,Ilimitado,458,7,1.53%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.81,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
30,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,thermogenico,11/19/23 0:00,Ilimitado,3671,113,3.08%,15,11,13.27%,9.73%,0.94,1.29,15,11,581.35,352.55,14.14,41.11,24.93,2.43%,4.01%,N/A,N/A,N/A
31,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,carnitina,11/19/23 0:00,Ilimitado,184,3,1.63%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.35,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
32,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,termogenico,11/19/23 0:00,Ilimitado,2932,70,2.39%,3,3,4.29%,4.29%,2.88,2.88,4,4,134.15,134.15,8.63,15.54,15.54,6.43%,6.43%,N/A,N/A,N/A
33,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,pre treino,11/19/23 0:00,Ilimitado,1304,24,1.84%,1,1,4.17%,4.17%,2.91,2.91,1,1,34.90,34.90,2.91,11.99,11.99,8.34%,8.34%,N/A,N/A,N/A
34,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,termogenico emagrecedor,11/19/23 0:00,Ilimitado,6667,129,1.93%,8,6,6.20%,4.65%,1.96,2.61,9,7,314.16,244.30,15.69,20.02,15.57,4.99%,6.42%,N/A,N/A,N/A
35,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,pré treino,11/19/23 0:00,Ilimitado,347,2,0.58%,1,1,50.00%,50.00%,0.25,0.25,1,1,34.90,34.90,0.25,139.6,139.6,0.72%,0.72%,N/A,N/A,N/A
36,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,cafeína 200mg,11/19/23 0:00,Ilimitado,2007,33,1.64%,2,2,6.06%,6.06%,2.00,2.00,2,2,64.80,64.80,4.01,16.16,16.16,6.19%,6.19%,N/A,N/A,N/A
37,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,termogênico,11/19/23 0:00,Ilimitado,3532,81,2.29%,4,4,4.94%,4.94%,2.44,2.44,4,4,134.60,134.60,9.74,13.82,13.82,7.24%,7.24%,N/A,N/A,N/A
38,19097516007,Encerrado,19097516007,Anúncio de Busca de Produtos,l carnitina capsulas,11/19/23 0:00,Ilimitado,672,4,0.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.47,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
39,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,black mamba termogênico,8/12/22 0:00,Ilimitado,390,4,1.03%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
40,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogenico growth,8/12/22 0:00,Ilimitado,187,3,1.60%,1,1,33.33%,33.33%,0.36,0.36,1,1,39.00,39.00,0.36,108.33,108.33,0.92%,0.92%,N/A,N/A,N/A
41,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,thermo,8/12/22 0:00,Ilimitado,163,3,1.84%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.37,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
42,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogenico max,8/12/22 0:00,Ilimitado,269,5,1.86%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.59,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
43,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico sem cafeína,8/12/22 0:00,Ilimitado,190,8,4.21%,1,1,12.50%,12.50%,0.96,0.96,1,1,39.00,39.00,0.96,40.63,40.63,2.46%,2.46%,N/A,N/A,N/A
44,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogenico max titanium,8/12/22 0:00,Ilimitado,197,6,3.05%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.66,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
45,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,kimera termogênico,8/12/22 0:00,Ilimitado,499,6,1.20%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.72,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
