Nome do Produto,Status,ID do produto,Tipos de Anuncios,localizacao-palavra-chave-dropdown,Data de Inicio,Data de Encerramento,Impressao,Cliques,CTR,Conversoes,Conversoes Diretas,Taxa de Conversao,Taxa de Conversao Direta,Custo por Conversao,Custo por Conversao Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressoes do Produto,Cliques de Produtos,CTR do Produto,Impressao por venda efetiva
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,thermo,12/08/2022 00:00,Ilimitado,68,1,1.47%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico sem cafeína,12/08/2022 00:00,Ilimitado,162,7,4.32%,1,1,14.29%,14.29%,0.83,0.83,1,1,39.00,39.00,0.83,46.99,46.99,2.13%,2.13%,N/A,N/A,N/A,162
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,lipo 6 black intense,12/08/2022 00:00,Ilimitado,975,12,1.23%,1,1,8.33%,8.33%,1.47,1.47,1,1,39.00,39.00,1.47,26.53,26.53,3.77%,3.77%,N/A,N/A,N/A,975
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico,12/08/2022 00:00,Ilimitado,355,9,2.54%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.10,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico black skull,12/08/2022 00:00,Ilimitado,249,6,2.41%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.74,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,hot termogênico,12/08/2022 00:00,Ilimitado,385,3,0.78%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.35,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogenico max titanium,12/08/2022 00:00,Ilimitado,181,6,3.31%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.66,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogenico growth,12/08/2022 00:00,Ilimitado,119,3,2.52%,1,1,33.33%,33.33%,0.36,0.36,1,1,39.00,39.00,0.36,108.33,108.33,0.92%,0.92%,N/A,N/A,N/A,119
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogenico,12/08/2022 00:00,Ilimitado,416,10,2.40%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,black,12/08/2022 00:00,Ilimitado,1546,21,1.36%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.42,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,thermogenico,12/08/2022 00:00,Ilimitado,177,10,5.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,café termogênico,12/08/2022 00:00,Ilimitado,178,7,3.93%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,lipo 6 black,12/08/2022 00:00,Ilimitado,359,6,1.67%,1,1,16.67%,16.67%,0.73,0.73,1,1,39.00,39.00,0.73,53.42,53.42,1.87%,1.87%,N/A,N/A,N/A,359
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico perda de peso,12/08/2022 00:00,Ilimitado,422,7,1.66%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,black mamba termogênico,12/08/2022 00:00,Ilimitado,350,4,1.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,kimera termogênico,12/08/2022 00:00,Ilimitado,448,6,1.34%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.72,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogenico probiotica,12/08/2022 00:00,Ilimitado,131,4,3.05%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
