Nome do Produto,Status,ID do produto,Tipos de Anuncios,localizacao-palavra-chave-dropdown,Data de Inicio,Data de Encerramento,Impressao,Cliques,CTR,Conversoes,Conversoes Diretas,Taxa de Conversao,Taxa de Conversao Direta,Custo por Conversao,Custo por Conversao Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressoes do Produto,Cliques de Produtos,CTR do Produto,Impressao por venda efetiva
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,termogênico perda de peso,08/08/2022 18:30,Ilimitado,375,7,1.87%,1,1,14.29%,14.29%,0.92,0.92,1,1,34.75,34.75,0.92,37.77,37.77,2.65%,2.65%,N/A,N/A,N/A,375
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,termogênicos,08/08/2022 18:30,Ilimitado,103,1,0.97%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,termogenico probiotica,08/08/2022 18:30,Ilimitado,36,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,termogenico emagrecedor,08/08/2022 18:30,Ilimitado,351,2,0.57%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.21,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,termogênico,08/08/2022 18:30,Ilimitado,393,11,2.80%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.31,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,queimador gordura,08/08/2022 18:30,Ilimitado,1144,20,1.75%,1,0,5.00%,0.00%,2.52,0.00,1,0,39.00,0.00,2.52,15.48,0.0,6.46%,0.00%,N/A,N/A,N/A,1144
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,saúde,08/08/2022 18:30,Ilimitado,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,suplemento natural para menopausa,08/10/2022 00:00,Ilimitado,68,2,2.94%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.26,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,saúde feminina,08/10/2022 00:00,Ilimitado,44,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca em cápsulas,08/10/2022 00:00,Ilimitado,89,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa,08/10/2022 00:00,Ilimitado,214,7,3.27%,1,1,14.29%,14.29%,0.87,0.87,1,1,29.90,29.90,0.87,34.37,34.37,2.91%,2.91%,N/A,N/A,N/A,214
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca cápsulas,08/10/2022 00:00,Ilimitado,308,8,2.60%,1,1,12.50%,12.50%,0.98,0.98,1,1,29.90,29.90,0.98,30.51,30.51,3.28%,3.28%,N/A,N/A,N/A,308
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,oleo de prímula,08/10/2022 00:00,Ilimitado,251,5,1.99%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.63,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,cólica menstrual,08/10/2022 00:00,Ilimitado,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm 2 0,08/10/2022 00:00,Ilimitado,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,oleo de primula 1000mg,08/10/2022 00:00,Ilimitado,277,5,1.81%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.65,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm reduxina,08/10/2022 00:00,Ilimitado,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca original,08/10/2022 00:00,Ilimitado,289,9,3.11%,1,1,11.11%,11.11%,1.15,1.15,1,1,29.90,29.90,1.15,26.0,26.0,3.85%,3.85%,N/A,N/A,N/A,289
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,dor menstrual,08/10/2022 00:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa suplemento,08/10/2022 00:00,Ilimitado,105,4,3.81%,2,2,50.00%,50.00%,0.24,0.24,2,2,59.80,59.80,0.48,124.58,124.58,0.80%,0.80%,N/A,N/A,N/A,53
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm,08/10/2022 00:00,Ilimitado,13,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,infertilidade feminina,08/10/2022 00:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa precoce,08/10/2022 00:00,Ilimitado,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,óleo de prímula,08/10/2022 00:00,Ilimitado,280,9,3.21%,2,2,22.22%,22.22%,0.57,0.57,2,2,59.80,59.80,1.15,52.0,52.0,1.92%,1.92%,N/A,N/A,N/A,140
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa remédio,08/10/2022 00:00,Ilimitado,96,1,1.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca denature,08/10/2022 00:00,Ilimitado,21,2,9.52%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.24,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa calorao,08/10/2022 00:00,Ilimitado,55,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm forever liss,08/10/2022 00:00,Ilimitado,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca,08/10/2022 00:00,Ilimitado,413,12,2.91%,1,1,8.33%,8.33%,1.64,1.64,1,1,29.90,29.90,1.64,18.23,18.23,5.48%,5.48%,N/A,N/A,N/A,413
Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,primula,08/10/2022 00:00,Ilimitado,269,7,2.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.88,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
NUTRASIM Colageno Hidrolisado 500mg + Vitamina C -Natus Green Qualidade BorerCaps,Em andamento,19050012650,Anúncio de Busca de Produtos,Selecionado automaticamente,08/10/2022 00:00,Ilimitado,2398,11,0.46%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,04.04,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843761,Anúncio de Busca de Produtos,Selecionado automaticamente,08/10/2022 00:00,Ilimitado,667,4,0.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.34,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecimento,08/10/2022 00:00,Ilimitado,22,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecedor natural,08/10/2022 00:00,Ilimitado,14,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,remédio para emagrecer,08/10/2022 00:00,Ilimitado,56,1,1.79%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecimento doterra,08/10/2022 00:00,Ilimitado,12,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit para emagrecer rapido,08/10/2022 00:00,Ilimitado,96,1,1.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecedor,08/10/2022 00:00,Ilimitado,81,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecedor max titanium,08/10/2022 00:00,Ilimitado,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,redux emagrecedor,08/10/2022 00:00,Ilimitado,18,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecer,08/10/2022 00:00,Ilimitado,29,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,100 peso emagrecedor,08/10/2022 00:00,Ilimitado,33,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecedor slim,08/10/2022 00:00,Ilimitado,53,1,1.89%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecer rapido perda peso,08/10/2022 00:00,Ilimitado,57,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecedor feminino,08/10/2022 00:00,Ilimitado,38,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecimento suplemento,08/10/2022 00:00,Ilimitado,140,5,3.57%,1,1,20.00%,20.00%,0.59,0.59,1,1,79.96,79.96,0.59,135.53,135.53,0.74%,0.74%,N/A,N/A,N/A,140
Kit Suplementar emagrecedor,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecedor dia e noite,08/10/2022 00:00,Ilimitado,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
